id,Player,BR_player_id,From,To,Pos,Ht,Wt,Birth Date,College,active,shoots,draft_team,pick_order,draft_year_type
75,Cliff Anderson,andercl01,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's University,0,Right,Los Angeles Lakers,"4th round (4th pick,35th overall)",1967 NBA Draft
76,Dan Anderson,anderda01,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,0,Right,Philadelphia 76ers,"12th round (3rd pick,89th overall)",1965 NBA Draft
77,Dan Anderson,anderda02,1975,1976,G,6-2,185,"January 1, 1951",University of Southern California,0,Right,Portland Trail Blazers,"6th round (2nd pick,92nd overall)",1974 NBA Draft
78,Derek Anderson,anderde01,1998,2008,G,6-5,194,"July 18, 1974",University of Kentucky,0,Right,Cleveland Cavaliers,"1st round (13th pick,13th overall)",1997 NBA Draft
79,Dwight Anderson,anderdw01,1983,1983,G,6-3,185,"December 28, 1960",University of Southern California,0,Right,Washington Bullets,"2nd round (18th pick,41st overall)",1982 NBA Draft
80,Eric Anderson,anderer01,1993,1994,F,6-9,220,"May 26, 1970",Indiana University,0,Right,,,
81,Greg Anderson,andergr01,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston,0,Right,San Antonio Spurs,"1st round (23rd pick,23rd overall)",1987 NBA Draft
82,J.J. Anderson,anderjj01,1983,1985,F,6-8,195,"September 23, 1960",Bradley University,0,Right,Philadelphia 76ers,"2nd round (13th pick,36th overall)",1982 NBA Draft
83,James Anderson,anderja01,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State University,0,Right,San Antonio Spurs,"1st round (20th pick,20th overall)",2010 NBA Draft
84,Jerome Anderson,anderje01,1976,1977,G,6-5,195,"October 9, 1953",West Virginia University,0,Right,Boston Celtics,"3rd round (17th pick,53rd overall)",1975 NBA Draft
85,Justin Anderson,anderju01,2016,2017,G,6-6,228,"November 19, 1993",University of Virginia,1,Left,Dallas Mavericks,"1st round (21st pick,21st overall)",2015 NBA Draft
86,Kenny Anderson,anderke01,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology,0,Left,New Jersey Nets,"1st round (2nd pick,2nd overall)",1991 NBA Draft
87,Kim Anderson,anderki01,1979,1979,F,6-7,200,"May 12, 1955",University of Missouri,0,Right,Milwaukee Bucks,"7th round (15th pick,146th overall)",1978 NBA Draft
88,Kyle Anderson,anderky01,2015,2017,F-G,6-9,230,"September 20, 1993","University of California, Los Angeles",1,Right,San Antonio Spurs,"1st round (30th pick,30th overall)",2014 NBA Draft
89,Michael Anderson,andermi01,1989,1989,G,5-11,184,"March 23, 1966",Drexel University,0,Right,Indiana Pacers,"3rd round (23rd pick,73rd overall)",1988 NBA Draft
90,Nick Anderson,anderni01,1990,2002,F-G,6-6,205,"January 20, 1968",University of Illinois at Urbana-Champaign,0,Right,Orlando Magic,"1st round (11th pick,11th overall)",1989 NBA Draft
91,Richard Anderson,anderri01,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara",0,Right,San Diego Clippers,"2nd round (9th pick,32nd overall)",1982 NBA Draft
92,Ron Anderson,anderro01,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno",0,Right,Cleveland Cavaliers,"2nd round (3rd pick,27th overall)",1984 NBA Draft
93,Ryan Anderson,anderry01,2009,2017,F,6-10,240,"May 6, 1988",University of California,1,Right,New Jersey Nets,"1st round (21st pick,21st overall)",2008 NBA Draft
94,Shandon Anderson,andersh01,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia,0,Right,Utah Jazz,"2nd round (25th pick,54th overall)",1996 NBA Draft
95,Willie Anderson,anderwi01,1989,1997,G-F,6-7,190,"January 8, 1967",University of Georgia,0,Right,San Antonio Spurs,"1st round (10th pick,10th overall)",1988 NBA Draft
96,Wally Anderzunas,anderwa01,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton University,0,Right,Atlanta Hawks,"2nd round (10th pick,25th overall)",1969 NBA Draft
97,Martynas Andriuskevicius,andrima01,2006,2006,C,7-2,240,"March 12, 1986",,0,Right,Orlando Magic,"2nd round (14th pick,44th overall)",2005 NBA Draft
98,Don Anielak,anieldo01,1955,1955,F,6-7,190,"November 1, 1930",Missouri State University,0,Right,New York Knicks,"3rd round (8th pick,26th overall)",1954 NBA Draft
99,Michael Ansley,anslemi01,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama,0,Right,Orlando Magic,"2nd round (10th pick,37th overall)",1989 NBA Draft
100,Chris Anstey,anstech01,1998,2000,C,7-0,249,"January 1, 1975",,0,Right,Portland Trail Blazers,"1st round (18th pick,18th overall)",1997 NBA Draft
101,Giannis Antetokounmpo,antetgi01,2014,2017,F-G,6-11,222,"December 6, 1994",,1,Right,Milwaukee Bucks,"1st round (15th pick,15th overall)",2013 NBA Draft
102,Thanasis Antetokounmpo,antetth01,2016,2016,F,6-7,205,"July 17, 1992",,0,Right,New York Knicks,"2nd round (21st pick,51st overall)",2014 NBA Draft
103,Carmelo Anthony,anthoca01,2004,2017,F,6-8,240,"May 29, 1984",Syracuse University,1,Right,Denver Nuggets,"1st round (3rd pick,3rd overall)",2003 NBA Draft
104,Greg Anthony,anthogr01,1992,2002,G,6-0,176,"November 15, 1967","University of Nevada, Las Vegas",0,Left,New York Knicks,"1st round (12th pick,12th overall)",1991 NBA Draft
105,Joel Anthony,anthojo01,2008,2017,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas",1,Left,,,
106,Pero Antic,anticpe01,2014,2015,C-F,6-11,260,"July 29, 1982",,0,Right,,,
107,Keith Appling,applike01,2016,2016,G,6-1,185,"February 13, 1992",Michigan State University,0,Right,,,
108,Rafael Araujo,araujra01,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University,0,Right,Toronto Raptors,"1st round (8th pick,8th overall)",2004 NBA Draft
109,Stacey Arceneaux,arcenst01,1962,1962,F,6-4,210,"February 17, 1936",Iowa State University,0,Right,,,
110,Robert Archibald,archiro01,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign,0,Right,Memphis Grizzlies,"2nd round (3rd pick,32nd overall)",2002 NBA Draft
111,Tiny Archibald*,architi01,1971,1984,G,6-1,150,"September 2, 1948",University of Texas at El Paso,0,Left,Cincinnati Royals,"2nd round (2nd pick,19th overall)",1970 NBA Draft
112,Jim Ard,ardji01,1971,1978,F-C,6-8,215,"September 19, 1948",University of Cincinnati,0,Right,Seattle SuperSonics,"1st round (6th pick,6th overall)",1970 NBA Draft
113,Gilbert Arenas,arenagi01,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona,0,Right,Golden State Warriors,"2nd round (2nd pick,31st overall)",2001 NBA Draft
114,Trevor Ariza,arizatr01,2005,2017,F,6-8,215,"June 30, 1985","University of California, Los Angeles",1,Right,New York Knicks,"2nd round (14th pick,43rd overall)",2004 NBA Draft
115,Paul Arizin*,arizipa01,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova University,0,Right,Philadelphia Warriors,,
116,Joe Arlauckas,arlaujo01,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,0,Right,Sacramento Kings,"4th round (5th pick,74th overall)",1987 NBA Draft
117,B.J. Armstrong,armstbj01,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa,0,Right,Chicago Bulls,"1st round (18th pick,18th overall)",1989 NBA Draft
118,Bob Armstrong,armstbo01,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State University,0,Right,Rochester Royals,,
119,Brandon Armstrong,armstbr01,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University,0,Left,Houston Rockets,"1st round (23rd pick,23rd overall)",2001 NBA Draft
120,Curly Armstrong,armstcu01,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana University,0,Right,,,
121,Darrell Armstrong,armstda01,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,0,Right,,,
122,Hilton Armstrong,armsthi01,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut,0,Right,New Orleans/Oklahoma City Hornets,"1st round (12th pick,12th overall)",2006 NBA Draft
123,Tate Armstrong,armstta01,1978,1979,G,6-3,175,"October 5, 1955",Duke University,0,Right,Chicago Bulls,"1st round (13th pick,13th overall)",1977 NBA Draft
124,Jesse Arnelle,arnelje01,1956,1956,F,6-5,220,"December 30, 1933",Pennsylvania State University,0,Right,Fort Wayne Pistons,"2nd round (7th pick,13th overall)",1955 NBA Draft
125,Jay Arnette,arnetja01,1964,1966,G,6-2,175,"December 19, 1938",University of Texas at Austin,0,Right,Cincinnati Royals,"2nd round (1st pick,9th overall)",1960 NBA Draft
126,Bob Arnzen,arnzebo01,1970,1974,F,6-5,205,"November 3, 1947",University of Notre Dame,0,Right,Detroit Pistons,"8th round (4th pick,103rd overall)",1969 NBA Draft
127,Carlos Arroyo,arroyca01,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,0,Right,,,
128,Darrell Arthur,arthuda01,2009,2017,F,6-9,235,"March 25, 1988",University of Kansas,1,Right,New Orleans Hornets,"1st round (27th pick,27th overall)",2008 NBA Draft
129,John Arthurs,arthujo01,1970,1970,G,6-4,185,"August 15, 1947",Tulane University,0,Right,Milwaukee Bucks,"6th round (2nd pick,73rd overall)",1969 NBA Draft
130,Omer Asik,asikom01,2011,2017,C,7-0,255,"July 4, 1986",,1,Right,Portland Trail Blazers,"2nd round (6th pick,36th overall)",2008 NBA Draft
131,Vincent Askew,askewvi01,1988,1998,G-F,6-6,210,"February 28, 1966",University of Memphis,0,Right,Philadelphia 76ers,"2nd round (16th pick,39th overall)",1987 NBA Draft
132,Keith Askins,askinke01,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama,0,Right,,,
133,Don Asmonga,asmondo01,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,0,Right,,,
134,Dick Atha,athadi01,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,0,Right,New York Knicks,,
135,Chucky Atkins,atkinch01,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida,0,Right,,,
136,Al Attles,attleal01,1961,1971,G,6-0,175,"November 7, 1936",North Carolina Agricultural and Technical State University,0,Right,Philadelphia Warriors,"5th round (7th pick,39th overall)",1960 NBA Draft
137,Chet Aubuchon,aubucch01,1947,1947,G,5-10,137,"May 18, 1916",Michigan State University,0,Right,,,
138,Stacey Augmon,augmost01,1992,2006,F-G,6-8,205,"August 1, 1968","University of Nevada, Las Vegas",0,Left,Atlanta Hawks,"1st round (9th pick,9th overall)",1991 NBA Draft
139,D.J. Augustin,augusdj01,2009,2017,G,6-0,183,"November 10, 1987",University of Texas at Austin,1,Right,Charlotte Bobcats,"1st round (9th pick,9th overall)",2008 NBA Draft
140,James Augustine,augusja01,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign,0,Left,Orlando Magic,"2nd round (11th pick,41st overall)",2006 NBA Draft
141,Isaac Austin,austiis01,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University,0,Right,Utah Jazz,"2nd round (21st pick,48th overall)",1991 NBA Draft
142,Johnny Austin,austijo01,1967,1968,G,6-0,170,"August 31, 1944",Boston College,0,Right,Boston Celtics,"4th round (8th pick,38th overall)",1966 NBA Draft
143,Ken Austin,austike01,1984,1984,F,6-9,205,"July 15, 1961",Rice University,0,Right,Detroit Pistons,"5th round (8th pick,101st overall)",1983 NBA Draft
144,Anthony Avent,aventan01,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University,0,Right,Atlanta Hawks,"1st round (15th pick,15th overall)",1991 NBA Draft
145,Bird Averitt,averibi01,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine University,0,Left,,,
146,William Avery,averywi01,2000,2002,G,6-2,197,"August 8, 1979",Duke University,0,Right,Minnesota Timberwolves,"1st round (14th pick,14th overall)",1999 NBA Draft
147,Dennis Awtrey,awtrede01,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara University,0,Right,Philadelphia 76ers,"3rd round (12th pick,46th overall)",1970 NBA Draft
148,Gustavo Ayon,ayongu01,2012,2014,C,6-10,250,"April 1, 1985",,0,Right,,,
149,Jeff Ayres,pendeje02,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University,0,Right,Sacramento Kings,"2nd round (1st pick,31st overall)",2009 NBA Draft
150,Kelenna Azubuike,azubuke01,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky,0,Right,,,
151,Chris Babb,babbch01,2014,2014,G,6-5,225,"February 14, 1990",Iowa State University,0,Right,,,
152,Luke Babbitt,babbilu01,2011,2017,F,6-9,225,"June 20, 1989","University of Nevada, Reno",1,Left,Minnesota Timberwolves,"1st round (16th pick,16th overall)",2010 NBA Draft
153,Milos Babic,babicmi01,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,0,Right,Phoenix Suns,"2nd round (23rd pick,50th overall)",1990 NBA Draft
154,Johnny Bach,bachjo01,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham University,0,Right,Boston Celtics,,
155,Henry Bacon,baconhe01,1973,1973,G,6-3,205,"July 5, 1948",University of Louisville,0,Right,Golden State Warriors,"6th round (13th pick,93rd overall)",1972 NBA Draft
156,Jim Baechtold,baechji01,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,0,Right,Baltimore Bullets,"1st round (2nd pick,2nd overall)",1952 NBA Draft
157,Dalibor Bagaric,bagarda01,2001,2003,C,7-1,255,"February 7, 1980",,0,Right,Chicago Bulls,"1st round (24th pick,24th overall)",2000 NBA Draft
158,John Bagley,baglejo01,1983,1994,G,6-0,185,"April 23, 1960",Boston College,0,Right,Cleveland Cavaliers,"1st round (12th pick,12th overall)",1982 NBA Draft
159,Carl Bailey,baileca01,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University,0,Right,Seattle SuperSonics,"3rd round (20th pick,66th overall)",1980 NBA Draft
160,Gus Bailey,bailegu01,1975,1980,G-F,6-5,185,"February 18, 1951",University of Texas at El Paso,0,Right,Houston Rockets,"2nd round (5th pick,23rd overall)",1974 NBA Draft
161,James Bailey,baileja01,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,0,Right,Seattle SuperSonics,"1st round (6th pick,6th overall)",1979 NBA Draft
162,Thurl Bailey,baileth01,1984,1999,F-C,6-11,215,"April 7, 1961",North Carolina State University,0,Right,Utah Jazz,"1st round (7th pick,7th overall)",1983 NBA Draft
163,Toby Bailey,baileto01,1999,2000,G,6-6,213,"November 19, 1975","University of California, Los Angeles",0,Right,Los Angeles Lakers,"2nd round (16th pick,45th overall)",1998 NBA Draft
164,Cameron Bairstow,bairsca01,2015,2016,F-C,6-9,250,"December 7, 1990",University of New Mexico,0,Right,Chicago Bulls,"2nd round (19th pick,49th overall)",2014 NBA Draft
165,Jimmie Baker,bakerji01,1976,1976,F,6-9,220,"December 25, 1953",University of Hawaii,0,Right,Philadelphia 76ers,"3rd round (3rd pick,39th overall)",1975 NBA Draft
166,LaMark Baker,bakerla01,1999,1999,G,6-1,175,"November 11, 1969",Ohio State University,0,Right,,,
167,Maurice Baker,bakerma01,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State University,0,Right,,,
168,Norm Baker,bakerno01,1947,1947,G,6-0,180,"February 17, 1923",,0,Right,,,
169,Ron Baker,bakerro01,2017,2017,G,6-4,220,"March 30, 1993",Wichita State University,1,Right,,,
170,Vin Baker,bakervi01,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford,0,Right,Milwaukee Bucks,"1st round (8th pick,8th overall)",1993 NBA Draft
171,Wade Baldwin,baldwwa01,2017,2017,G,6-4,202,"March 29, 1996",Vanderbilt University,1,Right,Memphis Grizzlies,"1st round (17th pick,17th overall)",2016 NBA Draft
